buy_month	sell_month	pints_purchased	expected_profit
2025-07-01	2025-12-01	269577	175770.6517861351
2025-08-01	2025-12-01	258849	139977.16464544457
2025-09-01	2025-12-01	256418	138122.04341006064
2025-06-01	2025-12-01	259333	127040.05414180216
2025-07-01	2025-11-01	277045	124142.02725378629
2025-10-01	2025-12-01	246125	106991.9332986826
2025-08-01	2025-11-01	265727	92768.44299077563
2025-09-01	2025-11-01	263166	91460.55443737876
2025-06-01	2025-11-01	266238	80087.93424284256
2025-10-01	2025-11-01	252336	65318.861609987085
2025-07-01	2025-10-01	284940	51612.646604565634
2025-05-01	2025-12-01	236155	45615.77598916257
2025-11-01	2025-12-01	224481	43482.21166157711
2025-08-01	2025-10-01	272981	31040.493054735165
2025-07-01	2025-09-01	293297	30782.55205666826
2025-09-01	2025-10-01	270279	30583.252729147713
2025-07-01	2025-08-01	302159	29219.837054109124
2025-06-01	2025-10-01	273520	25556.552418300176
2025-05-01	2025-11-01	241866	21418.328000754034
2025-08-01	2025-09-01	280642	16787.76964179179
2025-06-01	2025-09-01	281212	13423.992081331537
2025-06-01	2025-08-01	289348	11772.359665665426
2025-04-01	2025-12-01	216373	9331.02242991338
2025-03-01	2025-04-01	254746	8766.60621690233
2025-01-01	2025-02-01	220868	7156.269893299014
2025-03-01	2025-12-01	211618	4536.13454070777
2025-06-01	2025-07-01	297970	4470.850097928725
2025-05-01	2025-10-01	247861	2789.0188721412324
2025-04-01	2025-11-01	221158	2374.428543108686
2025-04-01	2025-05-01	254995	1055.4151310107159
2025-03-01	2025-11-01	216194	1036.990092056259
2025-05-01	2025-09-01	254161	868.8274538808953
2025-05-01	2025-06-01	275140	834.3659112982226
2025-05-01	2025-08-01	260789	643.4303130430835
2025-03-01	2025-05-01	248417	320.3229646592804
2025-02-01	2025-03-01	225236	272.5942784317372
2025-05-01	2025-07-01	267773	120.74694583436667
2025-04-01	2025-10-01	226160	95.40331645342287
2025-02-01	2025-04-01	220274	74.07907082063741
2025-02-01	2025-12-01	187273	61.469032180884625
2025-01-01	2025-03-01	216095	32.89599573522872
2025-03-01	2025-10-01	220971	25.949028175767673
2025-04-01	2025-09-01	231393	14.866031574300775
2025-01-01	2025-04-01	211524	6.587904440320389
2025-01-01	2025-12-01	180910	6.260149384011903
2025-04-01	2025-08-01	236874	5.297636696531621
2025-02-01	2025-11-01	190847	3.419373933990181
2025-04-01	2025-06-01	248654	2.7806968115409374
2025-03-01	2025-09-01	225964	2.000896349485579
2025-03-01	2025-07-01	236659	0.6446803010836679
2025-03-01	2025-08-01	231188	0.14711186073380697
2025-02-01	2025-05-01	215527	0.09937809019720054
2025-02-01	2025-07-01	206620	0.0
2025-02-01	2025-06-01	210980	0.0
2025-03-01	2025-06-01	242396	0.0
2025-02-01	2025-08-01	202437	0.0
2025-02-01	2025-09-01	198421	0.0
2025-01-01	2025-11-01	184243	0.0
2025-01-01	2025-10-01	187702	0.0
2025-01-01	2025-09-01	191292	0.0
2025-01-01	2025-08-01	195023	0.0
2025-01-01	2025-07-01	198902	0.0
2025-01-01	2025-06-01	202938	0.0
2025-01-01	2025-05-01	207142	0.0
2025-02-01	2025-10-01	194560	0.0
2025-04-01	2025-07-01	242621	0.0
